date ,open ,high,low,close,adj close,volume,day 
"Sep 7, 2023",123.85,124.88,123.52,124.46,120.5,"3,267,200",999
"Sep 6, 2023",125.19,125.47,123.13,123.71,119.77,"3,562,100",998
"Sep 5, 2023",125.42,127.47,125,125.19,121.21,"3,427,300",997
"Sep 1, 2023",127.55,127.7,125.15,125.52,121.53,"2,995,500",996
"Aug 31, 2023",126.35,127.7,125.84,126.55,122.52,"4,234,600",995
"Aug 30, 2023",125.77,127.35,125.37,126.95,122.91,"3,276,700",994
"Aug 29, 2023",123.82,127.66,123.77,126.16,122.15,"5,267,400",993
"Aug 28, 2023",121.93,123.73,121.44,123.43,119.5,"5,116,600",992
"Aug 25, 2023",124,124.1,120.75,121.79,117.91,"7,279,700",991
"Aug 24, 2023",122.62,124.44,122.12,124.1,120.15,"4,308,100",990
"Aug 23, 2023",124.32,125.39,122.79,123.21,119.29,"4,797,500",989
"Aug 22, 2023",125.52,126.07,122.64,124.94,120.96,"8,792,900",988
"Aug 21, 2023",130.49,131.75,127.43,127.79,123.72,"5,928,600",987
"Aug 18, 2023",129.61,132.42,129.06,131.21,127.04,"5,754,500",986
"Aug 17, 2023",128.54,132.85,128.43,130.11,125.97,"8,659,600",985
"Aug 16, 2023",135,135.25,127.53,128.75,124.65,"23,754,400",984
"Aug 15, 2023",127.95,129.32,124.96,125.05,121.07,"9,416,500",983
"Aug 14, 2023",130.73,131.82,128.87,129.42,124.24,"4,425,100",982
"Aug 11, 2023",130.03,131.69,130.02,131.05,125.8,"3,802,400",981
"Aug 10, 2023",131.25,132.51,130.52,130.92,125.68,"4,375,600",980
"Aug 9, 2023",131.35,132.07,130.26,130.6,125.37,"2,761,200",979
"Aug 8, 2023",130.62,131.21,129.35,130.98,125.73,"4,359,100",978
"Aug 7, 2023",133.02,133.7,131.34,131.94,126.66,"3,036,700",977
"Aug 4, 2023",133.8,134.62,131.97,132.53,127.22,"3,479,900",976
"Aug 3, 2023",133.23,134.04,132.6,132.73,127.41,"3,723,100",975
"Aug 2, 2023",132.2,134.09,131.82,133.54,128.19,"3,562,700",974
"Aug 1, 2023",136.33,136.54,132.95,132.99,127.66,"4,060,700",973
"Jul 31, 2023",135.26,136.89,135.26,136.47,131,"6,055,300",972
"Jul 28, 2023",135.85,136.74,134.81,135,129.59,"2,957,500",971
"Jul 27, 2023",135.33,138.28,134.5,134.5,129.11,"5,538,800",970
"Jul 26, 2023",132.76,135.54,132.46,134.47,129.08,"5,180,100",969
"Jul 25, 2023",135.09,135.83,133.34,133.6,128.25,"3,849,400",968
"Jul 24, 2023",134.32,135.6,133.83,135.41,129.99,"2,622,600",967
"Jul 21, 2023",135.13,136.36,133.6,134.08,128.71,"4,030,700",966
"Jul 20, 2023",133.13,135.29,132.48,134.64,129.25,"4,174,700",965
"Jul 19, 2023",131.5,132.93,130.88,132.7,127.39,"3,229,200",964
"Jul 18, 2023",130.35,131.97,129.04,130.81,125.57,"3,786,400",963
"Jul 17, 2023",130.8,130.83,128.55,130.01,124.8,"4,731,500",962
"Jul 14, 2023",132.09,132.68,130.66,130.92,125.68,"4,119,500",961
"Jul 13, 2023",133.37,134.3,132.69,132.82,127.5,"3,077,400",960
"Jul 12, 2023",134.85,135.41,132.84,132.91,127.59,"3,758,300",959
"Jul 11, 2023",132.04,134.3,131.37,133.39,128.05,"4,094,900",958
"Jul 10, 2023",130.28,131.86,130.28,131.74,126.46,"3,831,300",957
"Jul 7, 2023",130.5,132.22,129.86,130.05,124.84,"4,251,100",956
"Jul 6, 2023",131.88,132.97,130.43,130.84,125.6,"4,882,300",955
"Jul 5, 2023",134.24,134.49,132.49,132.55,127.24,"5,186,900",954
"Jul 3, 2023",131.59,135.32,131.59,134.86,129.46,"4,134,600",953
"Jun 30, 2023",133.81,133.85,131.13,131.9,126.62,"7,312,200",952
"Jun 29, 2023",132.48,134.06,131.77,132.91,127.59,"6,055,200",951
"Jun 28, 2023",132.7,133.38,131.88,132.47,127.17,"4,601,900",950
"Jun 27, 2023",133.2,134.84,132.41,132.51,127.2,"6,047,600",949
"Jun 26, 2023",132.35,135.46,132.34,134.5,129.11,"4,831,100",948
"Jun 23, 2023",131.01,132.41,130.32,131.83,126.55,"6,973,100",947
"Jun 22, 2023",133.44,133.76,131.43,132.39,127.09,"4,620,600",946
"Jun 21, 2023",132.36,133.98,131.33,133.22,127.89,"3,845,500",945
"Jun 20, 2023",133.12,133.29,131.42,132.72,127.41,"5,355,200",944
"Jun 16, 2023",138.06,138.06,133.64,133.81,128.45,"9,895,800",943
"Jun 15, 2023",135.11,138.08,134.6,137.84,132.32,"10,063,100",942
"Jun 14, 2023",129.2,134.53,127.93,133.23,127.89,"14,968,700",941
"Jun 13, 2023",127.5,129.4,126.74,128.72,123.57,"6,916,300",940
"Jun 12, 2023",127.3,127.39,125.08,126.48,121.41,"8,248,400",939
"Jun 9, 2023",129.5,130.6,126.95,126.99,121.9,"9,386,000",938
"Jun 8, 2023",131.5,132.77,130.22,131.27,126.01,"6,162,000",937
"Jun 7, 2023",132.03,132.31,131.01,131.75,126.47,"5,504,400",936
"Jun 6, 2023",130.1,132.96,129.93,132.7,127.39,"6,065,200",935
"Jun 5, 2023",131.67,132.51,129.72,130.6,125.37,"7,702,900",934
"Jun 2, 2023",131.24,133.28,130.56,133.22,127.89,"7,589,100",933
"Jun 1, 2023",128.6,132.03,126.75,131.16,125.91,"13,678,400",932
"May 31, 2023",134.24,135.26,130.63,130.93,125.69,"20,234,400",931
"May 30, 2023",138.22,138.89,133.58,133.84,128.48,"10,931,900",930
"May 26, 2023",140.31,140.48,137.21,138.93,133.37,"8,100,400",929
"May 25, 2023",142.18,142.2,138.65,140.75,135.11,"7,409,500",928
"May 24, 2023",145.8,145.89,142.13,143.1,137.37,"6,738,300",927
"May 23, 2023",150.33,151.33,146.94,147.16,141.27,"4,374,100",926
"May 22, 2023",151,152.74,149.77,151.91,145.83,"3,717,000",925
"May 19, 2023",154.9,155.27,150.93,152.28,146.18,"4,454,700",924
"May 18, 2023",160.87,161.62,153.25,154.18,148.01,"7,881,600",923
"May 17, 2023",155.8,162.84,155.12,160.96,154.51,"8,387,700",922
"May 16, 2023",157.38,160.85,154.7,156.91,150.63,"5,805,900",921
"May 15, 2023",157.97,160.79,157.4,160.57,153.1,"4,055,200",920
"May 12, 2023",157.8,159.3,156.03,157.99,150.64,"3,361,600",919
"May 11, 2023",157.38,159.31,156.54,158.87,151.48,"2,832,000",918
"May 10, 2023",158.18,159.3,155.02,157.73,150.4,"2,804,800",917
"May 9, 2023",155.7,157.86,155.42,157.42,150.1,"1,886,000",916
"May 8, 2023",156.48,157.79,155.65,156.5,149.22,"1,495,200",915
